,id,price,side,datetime
0,123013.XSHE,92.1,0,2019-01-02T14:50:00.000000000
1,123013.XSHE,104.12,1,2019-02-20T14:49:00.000000000
2,113510.XSHG,98.05,0,2019-02-20T14:50:00.000000000
3,113510.XSHG,99.7,1,2019-02-27T14:49:00.000000000
4,123013.XSHE,106.318,0,2019-02-27T14:50:00.000000000
5,123013.XSHE,125.59,1,2019-03-06T14:49:00.000000000
6,113510.XSHG,104.5,0,2019-03-06T14:50:00.000000000
7,113510.XSHG,103.29,1,2019-03-26T14:49:00.000000000
8,123013.XSHE,124.6,0,2019-03-26T14:50:00.000000000
9,123013.XSHE,127.151,1,2019-04-04T14:49:00.000000000
10,113510.XSHG,108.0,0,2019-04-04T14:50:00.000000000
11,113510.XSHG,107.87,1,2019-04-08T14:49:00.000000000
12,123013.XSHE,126.7,0,2019-04-08T14:50:00.000000000
13,123013.XSHE,123.194,1,2020-03-13T14:49:00.000000000
14,123015.XSHE,114.896,0,2020-03-13T14:50:00.000000000
15,123015.XSHE,110.853,1,2020-03-16T14:49:00.000000000
16,123013.XSHE,113.999,0,2020-03-16T14:50:00.000000000
17,123013.XSHE,170.0,1,2020-03-19T14:49:00.000000000
18,123015.XSHE,116.459,0,2020-03-19T14:50:00.000000000
19,123015.XSHE,133.0,1,2020-03-20T14:49:00.000000000
20,132016.XSHG,114.5,0,2020-03-20T14:50:00.000000000
21,132016.XSHG,115.99,1,2020-03-24T14:49:00.000000000
22,113514.XSHG,129.79,0,2020-03-24T14:50:00.000000000
23,113514.XSHG,134.0,1,2020-03-26T14:49:00.000000000
24,123015.XSHE,120.555,0,2020-03-26T14:50:00.000000000
25,123015.XSHE,121.601,1,2020-03-30T14:49:00.000000000
26,113514.XSHG,128.75,0,2020-03-30T14:50:00.000000000
27,113514.XSHG,131.7,1,2020-03-31T14:49:00.000000000
28,123015.XSHE,124.5,0,2020-03-31T14:50:00.000000000
29,123015.XSHE,132.2,1,2020-04-01T14:49:00.000000000
30,132016.XSHG,117.45,0,2020-04-01T14:50:00.000000000
31,132016.XSHG,117.45,1,2020-04-03T14:49:00.000000000
32,123015.XSHE,119.94,0,2020-04-03T14:50:00.000000000
33,123015.XSHE,118.172,1,2020-04-07T14:49:00.000000000
34,113514.XSHG,129.61,0,2020-04-07T14:50:00.000000000
35,113514.XSHG,127.07,1,2020-04-08T14:49:00.000000000
36,123015.XSHE,115.666,0,2020-04-08T14:50:00.000000000
37,123015.XSHE,113.7,1,2020-04-09T14:49:00.000000000
38,113514.XSHG,125.82,0,2020-04-09T14:50:00.000000000
39,113514.XSHG,117.15,1,2020-04-13T14:49:00.000000000
40,123013.XSHE,118.726,0,2020-04-13T14:50:00.000000000
41,123013.XSHE,191.302,1,2020-04-14T14:49:00.000000000
42,113514.XSHG,123.03,0,2020-04-14T14:50:00.000000000
43,113514.XSHG,130.2,1,2020-04-17T14:49:00.000000000
44,132016.XSHG,116.66,0,2020-04-17T14:50:00.000000000
45,132016.XSHG,116.66,1,2020-04-20T14:49:00.000000000
46,113514.XSHG,136.75,0,2020-04-20T14:50:00.000000000
47,113514.XSHG,154.61,1,2020-04-21T14:49:00.000000000
48,132016.XSHG,116.66,0,2020-04-21T14:50:00.000000000
49,132016.XSHG,112.95,1,2020-05-18T14:49:00.000000000
50,128103.XSHE,116.24,0,2020-05-18T14:50:00.000000000
51,128103.XSHE,115.599,1,2020-05-20T14:49:00.000000000
52,113580.XSHG,109.11,0,2020-05-20T14:50:00.000000000
53,113580.XSHG,110.0,1,2020-05-21T14:49:00.000000000
54,128103.XSHE,114.84,0,2020-05-21T14:50:00.000000000
55,128103.XSHE,111.076,1,2020-06-23T14:49:00.000000000
56,123012.XSHE,113.35,0,2020-06-23T14:50:00.000000000
57,123012.XSHE,113.704,1,2020-06-24T14:49:00.000000000
58,128103.XSHE,109.91,0,2020-06-24T14:50:00.000000000
59,128103.XSHE,109.168,1,2020-07-01T14:49:00.000000000
60,123014.XSHE,118.717,0,2020-07-01T14:50:00.000000000
61,123014.XSHE,121.481,1,2020-07-06T14:49:00.000000000
62,132016.XSHG,109.0,0,2020-07-06T14:50:00.000000000
63,132016.XSHG,110.0,1,2020-07-07T14:49:00.000000000
64,123014.XSHE,120.661,0,2020-07-07T14:50:00.000000000
65,123014.XSHE,127.787,1,2020-07-09T14:49:00.000000000
66,132016.XSHG,113.0,0,2020-07-09T14:50:00.000000000
67,132016.XSHG,114.0,1,2020-07-13T14:49:00.000000000
68,123015.XSHE,118.055,0,2020-07-13T14:50:00.000000000
69,123015.XSHE,122.52,1,2020-07-14T14:49:00.000000000
70,132016.XSHG,114.0,0,2020-07-14T14:50:00.000000000
71,132016.XSHG,114.0,1,2020-07-15T14:49:00.000000000
72,128103.XSHE,114.865,0,2020-07-15T14:50:00.000000000
73,128103.XSHE,138.66,1,2020-07-20T14:49:00.000000000
74,123012.XSHE,117.372,0,2020-07-20T14:50:00.000000000
75,123012.XSHE,118.0,1,2020-07-21T14:49:00.000000000
76,123014.XSHE,126.539,0,2020-07-21T14:50:00.000000000
77,123014.XSHE,125.692,1,2020-07-22T14:49:00.000000000
78,132016.XSHG,111.0,0,2020-07-22T14:50:00.000000000
79,132016.XSHG,110.0,1,2020-07-23T14:49:00.000000000
80,123014.XSHE,124.054,0,2020-07-23T14:50:00.000000000
81,123014.XSHE,156.0,1,2020-08-10T14:49:00.000000000
82,132016.XSHG,116.0,0,2020-08-10T14:50:00.000000000
83,132016.XSHG,116.0,1,2020-08-11T14:49:00.000000000
84,113536.XSHG,124.91,0,2020-08-11T14:50:00.000000000
85,113536.XSHG,124.64,1,2020-08-13T14:49:00.000000000
86,132016.XSHG,116.0,0,2020-08-13T14:50:00.000000000
87,132016.XSHG,115.85,1,2020-08-27T14:49:00.000000000
